date,Brand,Batch,FV,Notes,Fermentation Start Date/Time,Test Operation,Test,gravity_test,date,temp_test,date
2019-03-30 14:12:03,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Gravity Check,GRAVITY,2.44,2019-03-30 14:12:03,68.4,2019-03-30 14:12:03
2019-03-31 16:05:31,White,F16448,B13,,2019-03-26 23:04:00,Gravity Check,GRAVITY,2.56,2019-03-31 16:05:31,68.4,2019-03-31 16:05:31
2019-03-31 16:06:08,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Gravity Check,GRAVITY,2.39,2019-03-31 16:06:08,68.4,2019-03-31 16:06:08
2019-03-31 16:06:34,White,F16456,B20,,2019-03-27 18:39:00,Gravity Check,GRAVITY,2.56,2019-03-31 16:06:34,68.7,2019-03-31 16:06:34
2019-04-01 13:19:31,White,F16456,B20,,2019-03-27 18:39:00,Gravity Check,GRAVITY,2.53,2019-04-01 13:19:31,68.5,2019-04-01 13:19:31
2019-04-01 13:26:23,White,F16448,B13,,2019-03-26 23:04:00,Gravity Check,GRAVITY,2.55,2019-04-01 13:26:23,68.3,2019-04-01 13:26:23
2019-04-01 13:33:56,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Gravity Check,GRAVITY,2.49,2019-04-01 13:33:56,68.3,2019-04-01 13:33:56
2019-04-02 08:23:32,White,F16473,B15,spunding trial,2019-04-02 03:42:00,Day 1,GRAVITY,11.49,2019-04-02 08:23:32,63.7,2019-04-02 08:23:32
2019-04-02 08:41:38,White,F16456,B20,,2019-03-27 18:39:00,Gravity Check,GRAVITY,2.51,2019-04-02 08:41:38,68.4,2019-04-02 08:41:38
2019-04-02 08:48:47,White,F16448,B13,,2019-03-26 23:04:00,Gravity Check,GRAVITY,2.51,2019-04-02 08:48:47,68.0,2019-04-02 08:48:47
2019-04-02 08:56:49,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Gravity Check,GRAVITY,2.38,2019-04-02 08:56:49,67.9,2019-04-02 08:56:49
2019-04-02 15:35:01,White,F16485,B02,starter,2019-04-02 23:30:00,Yeast Pitch,GRAVITY,5.0,2019-04-02 15:35:01,,
2019-04-03 10:53:01,White,F16485,B02,starter,2019-04-02 23:30:00,Day 1,GRAVITY,11.06,2019-04-03 10:53:01,64.6,2019-04-03 10:53:01
2019-04-03 11:06:33,White,F16481,B07,glycol trial,2019-04-02 13:05:00,Day 1,GRAVITY,10.68,2019-04-03 11:06:33,65.1,2019-04-03 11:06:33
2019-04-03 11:19:40,White,F16473,B15,spunding trial,2019-04-02 03:42:00,Day 2,GRAVITY,9.1,2019-04-03 11:19:40,65.7,2019-04-03 11:19:40
2019-04-03 11:42:36,White,F16456,B20,,2019-03-27 18:39:00,Gravity Check,GRAVITY,2.53,2019-04-03 11:42:36,68.2,2019-04-03 11:42:36
2019-04-03 11:47:43,White,F16448,B13,,2019-03-26 23:04:00,Gravity Check,GRAVITY,2.53,2019-04-03 11:47:43,67.8,2019-04-03 11:47:43
2019-04-03 11:58:27,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Cold,GRAVITY,2.41,2019-04-03 11:58:27,59.9,2019-04-03 11:58:27
2019-04-04 08:43:07,White,F16497,B03,,2019-04-04 05:24:00,Day 1,GRAVITY,11.4,2019-04-04 08:43:07,63.5,2019-04-04 08:43:07
2019-04-04 09:32:27,White,F16473,B15,spunding trial,2019-04-02 03:42:00,Gravity Check,GRAVITY,6.36,2019-04-04 09:32:27,65.3,2019-04-04 09:32:27
2019-04-04 09:53:26,White,F16489,B19,,2019-04-03 19:09:00,Day 1,GRAVITY,11.15,2019-04-04 09:53:26,65.5,2019-04-04 09:53:26
2019-04-04 10:52:35,White,F16485,B02,starter,2019-04-02 23:30:00,Day 2,GRAVITY,8.33,2019-04-04 10:52:35,65.4,2019-04-04 10:52:35
2019-04-04 11:00:57,White,F16481,B07,glycol trial,2019-04-02 13:05:00,Day 2,GRAVITY,7.09,2019-04-04 11:00:57,65.4,2019-04-04 11:00:57
2019-04-04 11:19:49,White,F16456,B20,,2019-03-27 18:39:00,Gravity Check,GRAVITY,2.48,2019-04-04 11:19:49,68.0,2019-04-04 11:19:49
2019-04-04 11:35:53,White,F16448,B13,,2019-03-26 23:04:00,Cold,GRAVITY,2.52,2019-04-04 11:35:53,59.9,2019-04-04 11:35:53
2019-04-05 08:13:00,White,F16497,B03,,2019-04-04 05:24:00,Day 2,GRAVITY,9.36,2019-04-05 08:13:00,65.1,2019-04-05 08:13:00
2019-04-05 08:25:04,White,F16489,B19,,2019-04-03 19:09:00,Day 2,GRAVITY,8.09,2019-04-05 08:25:04,65.7,2019-04-05 08:25:04
